Completion Note,Keywords for 1,Keywords for 2,Keywords for 3
Downloaded error codes and verified serial numbers,"['code', 'download', 'error', 'number', 'serial', 'verify']","['code verify', 'download error', 'error code', 'serial number', 'verify serial']","['code verify serial', 'download error code', 'error code verify', 'verify serial number']"
Firmware update completed on both ovens,"['complete', 'firmware', 'oven', 'update']","['complete oven', 'firmware update', 'update complete']","['firmware update complete', 'update complete oven']"
Loctite update done,"['loctite', 'update']",['loctite update'],[]
nan,['nan'],[],[]
"Removed and replaced Turbochef S/N NGOD 43285
with Merrychef S/N 1907213091370. Merrychef oven is operationally checked with no discrepancies noted.","['merrychef', 'sn', '1907213091370', '43285with', 'check', 'discrepancy', 'ngod', 'note', 'operationally', 'oven', 'removed', 'replace', 'turbochef']","['1907213091370 merrychef', '43285with merrychef', 'check discrepancy', 'discrepancy note', 'merrychef oven', 'merrychef sn', 'ngod 43285with', 'operationally check', 'oven operationally', 'removed replace', 'replace turbochef', 'sn 1907213091370', 'sn ngod', 'turbochef sn']","['1907213091370 merrychef oven', '43285with merrychef sn', 'check discrepancy note', 'merrychef oven operationally', 'merrychef sn 1907213091370', 'ngod 43285with merrychef', 'operationally check discrepancy', 'oven operationally check', 'removed replace turbochef', 'replace turbochef sn', 'sn 1907213091370 merrychef', 'sn ngod 43285with', 'turbochef sn ngod']"
Phone assist/ resolved,"['assist', 'phone', 'resolve']","['assist resolve', 'phone assist']",['phone assist resolve']
Menu update,"['menu', 'update']",['menu update'],[]
Arrived onsite and found oven powered off. Found breaker trip. Reset breaker and found oven displayed an open door error. Replaced blown 20A fuse and tested all components with no other issues. Oven is now operating properly.,"['oven', 'breaker', '20a', 'arrive', 'blow', 'component', 'display', 'door', 'error', 'fuse', 'issue', 'onsite', 'open', 'operate', 'power', 'properly', 'replaced', 'reset', 'trip']","['20a fuse', 'arrive onsite', 'blow 20a', 'breaker oven', 'breaker trip', 'component issue', 'display open', 'door error', 'error replaced', 'fuse component', 'issue oven', 'onsite oven', 'open door', 'operate properly', 'oven display', 'oven operate', 'oven power', 'power breaker', 'replaced blow', 'reset breaker', 'trip reset']","['20a fuse component', 'arrive onsite oven', 'blow 20a fuse', 'breaker oven display', 'breaker trip reset', 'component issue oven', 'display open door', 'door error replaced', 'error replaced blow', 'fuse component issue', 'issue oven operate', 'onsite oven power', 'open door error', 'oven display open', 'oven operate properly', 'oven power breaker', 'power breaker trip', 'replaced blow 20a', 'reset breaker oven', 'trip reset breaker']"
Arrived onsite and found oven down with a magnetron failure. Troubleshooted and found left side magnetron failed. Tested right side with no issues. Replaced left magnetron and tested all oven components with no other issues. Test cooked a product for leaving site.,"['magnetron', 'issue', 'leave', 'oven', 'arrive', 'component', 'cook', 'fail', 'failure', 'left', 'onsite', 'product', 'replace', 'right', 'site', 'test', 'troubleshoot']","['arrive onsite', 'component issue', 'cook product', 'fail right', 'failure troubleshoot', 'issue replace', 'issue test', 'leave magnetron', 'leave site', 'left magnetron', 'magnetron fail', 'magnetron failure', 'magnetron oven', 'onsite oven', 'oven component', 'oven magnetron', 'product leave', 'replace leave', 'right issue', 'test cook', 'troubleshoot left']","['arrive onsite oven', 'component issue test', 'cook product leave', 'fail right issue', 'failure troubleshoot left', 'issue replace leave', 'issue test cook', 'leave magnetron oven', 'left magnetron fail', 'magnetron fail right', 'magnetron failure troubleshoot', 'magnetron oven component', 'onsite oven magnetron', 'oven component issue', 'oven magnetron failure', 'product leave site', 'replace leave magnetron', 'right issue replace', 'test cook product', 'troubleshoot left magnetron']"
"Arrived on site, store using oven heavily all day without issue. Watched them cook several items.
Mags, Heater, Fan and board all testing fine. 
Could not duplicate issue.
Updated menu while on site","['site', 'arrive', 'board', 'cook', 'day', 'duplicate', 'fan', 'heater', 'heavily', 'issue', 'issueupdate', 'itemsmags', 'menu', 'oven', 'store', 'testing', 'use', 'watch']","['arrive site', 'board testing', 'cook itemsmags', 'day issue', 'duplicate issueupdate', 'fan board', 'heater fan', 'heavily day', 'issue watch', 'issueupdate menu', 'itemsmags heater', 'menu site', 'oven heavily', 'site store', 'store use', 'testing duplicate', 'use oven', 'watch cook']","['arrive site store', 'board testing duplicate', 'cook itemsmags heater', 'day issue watch', 'duplicate issueupdate menu', 'fan board testing', 'heater fan board', 'heavily day issue', 'issue watch cook', 'issueupdate menu site', 'itemsmags heater fan', 'oven heavily day', 'site store use', 'store use oven', 'testing duplicate issueupdate', 'use oven heavily', 'watch cook itemsmags']"
Updated menu,"['menu', 'updated']",['updated menu'],[]
"RightE2S 

Faults
0

Volts
208

Amps
R-8.3
L-8.3

Heater Amps 
10.9

Checked EC , unable to recreate issue 

Tested unit all tests passed with zero results 

Drew","['109checke', 'amps', 'drew', 'ec', 'faults0volts208ampsr83l83heater', 'issue', 'pass', 'recreate', 'result', 'righte2s', 'test', 'unable', 'unit', 'zero']","['109checke ec', 'amps 109checke', 'ec unable', 'faults0volts208ampsr83l83heater amps', 'issue unit', 'pass zero', 'recreate issue', 'result drew', 'righte2s faults0volts208ampsr83l83heater', 'test pass', 'unable recreate', 'unit test', 'zero result']","['109checke ec unable', 'amps 109checke ec', 'ec unable recreate', 'faults0volts208ampsr83l83heater amps 109checke', 'issue unit test', 'pass zero result', 'recreate issue unit', 'righte2s faults0volts208ampsr83l83heater amps', 'test pass zero', 'unable recreate issue', 'unit test pass', 'zero result drew']"
Loctite update for filter sensor completed,"['complete', 'filter', 'loctite', 'sensor', 'update']","['filter sensor', 'loctite update', 'sensor complete', 'update filter']","['filter sensor complete', 'loctite update filter', 'update filter sensor']"
"Replaced both ovens back panels, downloaded error codes and cook counter.","['code', 'cook', 'counter', 'download', 'error', 'oven', 'panel', 'replace']","['code cook', 'cook counter', 'download error', 'error code', 'oven panel', 'panel download', 'replace oven']","['code cook counter', 'download error code', 'error code cook', 'oven panel download', 'panel download error', 'replace oven panel']"
nan,['nan'],[],[]
nan,['nan'],[],[]
"Left 
Cook Count 32311
E101

Low mag current.

Selecting 240 VAC, actual service is 211 VAC.

Replaced SRB.
Ran system tests, no option to run recommission test.
reset D&T.
Verified menu loading and product cooked correct.","['cook', '211', '240', '32311e101low', 'actual', 'correct', 'count', 'currentselecting', 'dtverified', 'leave', 'loading', 'mag', 'menu', 'option', 'product', 'recommission', 'run', 'service', 'srbran', 'test', 'testreset', 'vac', 'vacreplaced']","['211 vacreplaced', '240 vac', '32311e101low mag', 'actual service', 'cook correct', 'cook count', 'count 32311e101low', 'currentselecting 240', 'dtverified menu', 'leave cook', 'loading product', 'mag currentselecting', 'menu loading', 'option run', 'product cook', 'recommission testreset', 'run recommission', 'service 211', 'srbran test', 'test option', 'testreset dtverified', 'vac actual', 'vacreplaced srbran']","['211 vacreplaced srbran', '240 vac actual', '32311e101low mag currentselecting', 'actual service 211', 'cook count 32311e101low', 'count 32311e101low mag', 'currentselecting 240 vac', 'dtverified menu loading', 'leave cook count', 'loading product cook', 'mag currentselecting 240', 'menu loading product', 'option run recommission', 'product cook correct', 'recommission testreset dtverified', 'run recommission testreset', 'service 211 vacreplaced', 'srbran test option', 'test option run', 'testreset dtverified menu', 'vac actual service', 'vacreplaced srbran test']"
"Phone Resolution 

Called store, spoke with Saxon, had him power cycle oven. This corrected problem.

Oven operating nominally

Closed with FCC @ 1720 PST","['1720', 'correct', 'cycle', 'fcc', 'nominallyclosed', 'operate', 'oven', 'phone', 'power', 'problemoven', 'pst', 'resolution', 'saxon', 'speak', 'store']","['1720 pst', 'correct problemoven', 'cycle oven', 'fcc 1720', 'nominallyclosed fcc', 'operate nominallyclosed', 'oven correct', 'phone resolution', 'power cycle', 'problemoven operate', 'resolution store', 'saxon power', 'speak saxon', 'store speak']","['correct problemoven operate', 'cycle oven correct', 'fcc 1720 pst', 'nominallyclosed fcc 1720', 'operate nominallyclosed fcc', 'oven correct problemoven', 'phone resolution store', 'power cycle oven', 'problemoven operate nominallyclosed', 'resolution store speak', 'saxon power cycle', 'speak saxon power', 'store speak saxon']"
"Left Oven
Cook Count: 60215

Found oven in use, customer says it has not smelled all day. 

Smell likely from food debris or oven cleaner.

Unable to duplicate issue.

Left Mag: 8.2
Right Mag: 8.3
Heater: 10.7
Blower and all fans are operational. Set date and time. 


Closed with FCC at 1519PST","['mag', 'oven', '107blower', '1519pst', '60215found', '82right', '83heater', 'cleanerunable', 'closed', 'count', 'customer', 'date', 'day', 'debris', 'duplicate', 'fan', 'fcc', 'food', 'issueleft', 'leave', 'likely', 'operational', 'ovencook', 'say', 'set', 'smell', 'smelled', 'time', 'use']","['107blower fan', '60215found oven', '82right mag', '83heater 107blower', 'cleanerunable duplicate', 'closed fcc', 'count 60215found', 'customer say', 'date time', 'day smell', 'debris oven', 'duplicate issueleft', 'fan operational', 'fcc 1519pst', 'food debris', 'issueleft mag', 'leave ovencook', 'likely food', 'mag 82right', 'mag 83heater', 'operational set', 'oven cleanerunable', 'oven use', 'ovencook count', 'say smelled', 'set date', 'smell likely', 'smelled day', 'time closed', 'use customer']","['107blower fan operational', '60215found oven use', '82right mag 83heater', '83heater 107blower fan', 'cleanerunable duplicate issueleft', 'closed fcc 1519pst', 'count 60215found oven', 'customer say smelled', 'date time closed', 'day smell likely', 'debris oven cleanerunable', 'duplicate issueleft mag', 'fan operational set', 'food debris oven', 'issueleft mag 82right', 'leave ovencook count', 'likely food debris', 'mag 82right mag', 'mag 83heater 107blower', 'operational set date', 'oven cleanerunable duplicate', 'oven use customer', 'ovencook count 60215found', 'say smelled day', 'set date time', 'smell likely food', 'smelled day smell', 'time closed fcc', 'use customer say']"
"PHR with Stephanie 
Had her cycle power","['cycle', 'phr', 'power', 'stephanie']","['cycle power', 'phr stephanie', 'stephanie cycle']","['phr stephanie cycle', 'stephanie cycle power']"
