Index,Original Category,keywords,Description,Assigned Category
0,Other,"[('4gb formatted fat', 0, 0.0), ('download error log', 0, 0.0), ('drives use 4gb', 0, 0.0), ('error log merrychef', 0, 0.0), ('fat standard windows', 0, 0.0), ('formatted fat standard', 0, 0.0), ('ideally usb drives', 0, 0.0), ('location ideally usb', 0, 0.0), ('log merrychef ovens', 0, 0.0), ('merrychef ovens location', 0, 0.0), ('ovens location ideally', 0, 0.0), ('standard windows format', 0, 0.0), ('usb drives use', 0, 0.0), ('use 4gb formatted', 0, 0.0)]","download the error log on both MerryChef ovens at each location Ideally the USB drives you should use are 4GB or less and formatted FAT, a standard windows format",Power Supply
1,Other,"[('closed starbucks sending', 0, 0.0), ('currently closed starbucks', 0, 0.0), ('firmware upgrade store', 0, 0.0), ('keys alarm codes', 0, 0.0), ('merrychef firmware upgrade', 0, 0.0), ('sending keys alarm', 0, 0.0), ('starbucks sending keys', 0, 0.0), ('store currently closed', 0, 0.0), ('upgrade store currently', 0, 0.0)]",MerryChef firmware upgrade *store currently closed - Starbucks is sending keys and alarm codes*,Display Issue
2,Other,"[('closed open date', 0, 0.0), ('currently closed open', 0, 0.0), ('date time reach', 0, 0.0), ('filter sensor loctite', 0, 0.0), ('fsm store schedule', 0, 0.0), ('loctite store currently', 0, 0.0), ('needs filter sensor', 0, 0.0), ('open date time', 0, 0.0), ('reach fsm store', 0, 0.0), ('sensor loctite store', 0, 0.0), ('store currently closed', 0, 0.0), ('time reach fsm', 0, 0.0)]","Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Air Filter Error
3,Other,"[('09 21 instructions', 0, 0.0), ('21 instructions cable', 0, 0.0), ('addison office return', 0, 0.0), ('attached procedures parts', 0, 0.0), ('cable swap attached', 0, 0.0), ('cable tags ties', 0, 0.0), ('cables kccm module', 0, 0.0), ('cables need returned', 0, 0.0), ('completion date 09', 0, 0.0), ('data cables kccm', 0, 0.0), ('date 09 21', 0, 0.0), ('firmware update required', 0, 0.0), ('firmware usb shipped', 0, 0.0), ('included information printed', 0, 0.0), ('included parts kit', 0, 0.0), ('information printed instruction', 0, 0.0), ('instruction sheet included', 0, 0.0), ('instructions cable swap', 0, 0.0), ('kccm module srb', 0, 0.0), ('kit cables need', 0, 0.0), ('market required completion', 0, 0.0), ('module srb required', 0, 0.0), ('need returned turbo', 0, 0.0), ('office return label', 0, 0.0), ('package cable tags', 0, 0.0), ('parts firmware usb', 0, 0.0), ('parts kit cables', 0, 0.0), ('parts package cable', 0, 0.0), ('printed instruction sheet', 0, 0.0), ('procedures parts package', 0, 0.0), ('replacement data cables', 0, 0.0), ('required completion date', 0, 0.0), ('required firmware update', 0, 0.0), ('required parts firmware', 0, 0.0), ('return label enclosed', 0, 0.0), ('returned turbo technicians', 0, 0.0), ('sheet included parts', 0, 0.0), ('shipped market required', 0, 0.0), ('srb required firmware', 0, 0.0), ('swap attached procedures', 0, 0.0), ('tags ties included', 0, 0.0), ('technicians addison office', 0, 0.0), ('ties included information', 0, 0.0), ('turbo technicians addison', 0, 0.0), ('update required parts', 0, 0.0), ('usb shipped market', 0, 0.0)]","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
4,Other,"[('1174 st3299 number', 0, 0.0), ('319 1174 st3299', 0, 0.0), ('3299 discard existing', 0, 0.0), ('503 319 1174', 0, 0.0), ('chef oven install', 0, 0.0), ('coordinate pickup unit', 0, 0.0), ('discard existing ngo', 0, 0.0), ('existing ngo unit', 0, 0.0), ('install store 3299', 0, 0.0), ('merry chef oven', 0, 0.0), ('ngo unit reachout', 0, 0.0), ('northwest coordinate pickup', 0, 0.0), ('oven install store', 0, 0.0), ('pickup unit 503', 0, 0.0), ('pickup used merry', 0, 0.0), ('reachout zach northwest', 0, 0.0), ('st3299 number 3608489629', 0, 0.0), ('store 3299 discard', 0, 0.0), ('unit 503 319', 0, 0.0), ('unit reachout zach', 0, 0.0), ('used merry chef', 0, 0.0), ('zach northwest coordinate', 0, 0.0)]",1) pickup 1 used merry chef oven and install it at store 3299. Discard the existing NGO unit. Please reachout to Zach at Northwest to coordinate the pickup of the unit 503-319-1174. ST3299 number: 3608489629,Upper Impinger Plate
9,Other,"[('aren fully warmed', 0, 0.0), ('chocolate croissants aren', 0, 0.0), ('croissants aren fully', 0, 0.0), ('fully warmed thing', 0, 0.0), ('happening chocolate cookies', 0, 0.0), ('thing happening chocolate', 0, 0.0), ('warmed thing happening', 0, 0.0)]","The chocolate croissants aren't being fully warmed up, the same thing is happening to the chocolate cookies",Microwave
11,Other,"[('crispier new replaced', 0, 0.0), ('getting things crispier', 0, 0.0), ('hotter oven getting', 0, 0.0), ('new replaced recently', 0, 0.0), ('oven getting things', 0, 0.0), ('oven temping hotter', 0, 0.0), ('recently really hot', 0, 0.0), ('replaced recently really', 0, 0.0), ('temping hotter oven', 0, 0.0), ('things crispier new', 0, 0.0)]",This oven is temping hotter than the other oven and getting things crispier than they should be. Its a new one that was replaced recently but its really hot,Smoking
12,Other,"[('closed open date', 0, 0.0), ('currently closed open', 0, 0.0), ('date time reach', 0, 0.0), ('filter sensor loctite', 0, 0.0), ('fsm store schedule', 0, 0.0), ('loctite store currently', 0, 0.0), ('needs filter sensor', 0, 0.0), ('open date time', 0, 0.0), ('reach fsm store', 0, 0.0), ('sensor loctite store', 0, 0.0), ('store currently closed', 0, 0.0), ('time reach fsm', 0, 0.0)]","Needs filter sensor loctite. *STORE CURRENTLY CLOSED, NO OPEN DATE AT THIS TIME - REACH OUT TO FSM AND CALL STORE TO SCHEDULE*",Air Filter Error
13,Other,"[('27th weeks complete', 0, 0.0), ('285 labor store', 0, 0.0), ('complete retrofit project', 0, 0.0), ('installing panels october', 0, 0.0), ('labor store parts', 0, 0.0), ('location 285 labor', 0, 0.0), ('merrychef ovens location', 0, 0.0), ('october 27th weeks', 0, 0.0), ('ovens location 285', 0, 0.0), ('panels merrychef ovens', 0, 0.0), ('panels october 27th', 0, 0.0), ('parts supplied welbilt', 0, 0.0), ('project invoice welbilt', 0, 0.0), ('replacing panels merrychef', 0, 0.0), ('retrofit project invoice', 0, 0.0), ('start installing panels', 0, 0.0), ('store parts supplied', 0, 0.0), ('supplied welbilt start', 0, 0.0), ('weeks complete retrofit', 0, 0.0), ('welbilt start installing', 0, 0.0)]","We will be replacing back panels on the merrychef ovens at this location. We will bill $285 in labor per store. The parts are being supplied by Welbilt. We can start installing these panels on October 27th, we have 2 weeks to complete the retrofit project Invoice Welbilt",Power Supply
14,Other,"[('09 21 instructions', 0, 0.0), ('21 instructions cable', 0, 0.0), ('addison office return', 0, 0.0), ('attached procedures parts', 0, 0.0), ('cable swap attached', 0, 0.0), ('cable tags ties', 0, 0.0), ('cables kccm module', 0, 0.0), ('cables need returned', 0, 0.0), ('completion date 09', 0, 0.0), ('data cables kccm', 0, 0.0), ('date 09 21', 0, 0.0), ('firmware update required', 0, 0.0), ('firmware usb shipped', 0, 0.0), ('included information printed', 0, 0.0), ('included parts kit', 0, 0.0), ('information printed instruction', 0, 0.0), ('instruction sheet included', 0, 0.0), ('instructions cable swap', 0, 0.0), ('kccm module srb', 0, 0.0), ('kit cables need', 0, 0.0), ('market required completion', 0, 0.0), ('module srb required', 0, 0.0), ('need returned turbo', 0, 0.0), ('office return label', 0, 0.0), ('package cable tags', 0, 0.0), ('parts firmware usb', 0, 0.0), ('parts kit cables', 0, 0.0), ('parts package cable', 0, 0.0), ('printed instruction sheet', 0, 0.0), ('procedures parts package', 0, 0.0), ('replacement data cables', 0, 0.0), ('required completion date', 0, 0.0), ('required firmware update', 0, 0.0), ('required parts firmware', 0, 0.0), ('return label enclosed', 0, 0.0), ('returned turbo technicians', 0, 0.0), ('sheet included parts', 0, 0.0), ('shipped market required', 0, 0.0), ('srb required firmware', 0, 0.0), ('swap attached procedures', 0, 0.0), ('tags ties included', 0, 0.0), ('technicians addison office', 0, 0.0), ('ties included information', 0, 0.0), ('turbo technicians addison', 0, 0.0), ('update required parts', 0, 0.0), ('usb shipped market', 0, 0.0)]","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue
15,Other,"[('screen unresponsive half', 0, 0.0), ('touch screen unresponsive', 0, 0.0), ('unresponsive half time', 0, 0.0)]",Touch screen is unresponsive half of the time,Constant Key Press
17,Other,"[('constant key press', 0, 0.0), ('key press detected', 0, 0.0)]",Constant key press detected,Constant Key Press
18,Other,"[('away minutes cleaned', 0, 0.0), ('cleaned filter scrubbed', 0, 0.0), ('day goes away', 0, 0.0), ('filter scrubbed inside', 0, 0.0), ('goes away minutes', 0, 0.0), ('inside sanitizer oven', 0, 0.0), ('left oven terrible', 0, 0.0), ('minutes cleaned filter', 0, 0.0), ('multiple times day', 0, 0.0), ('oven cleaner helps', 0, 0.0), ('oven terrible smell', 0, 0.0), ('sanitizer oven cleaner', 0, 0.0), ('scrubbed inside sanitizer', 0, 0.0), ('smell multiple times', 0, 0.0), ('terrible smell multiple', 0, 0.0), ('times day goes', 0, 0.0)]",Left oven has terrible smell multiple times a day and goes away within ten minutes. We cleaned the filter and scrubbed all inside with sanitizer and oven cleaner but nothing helps,Air Filter Error
19,Other,"[('constant key press', 0, 0.0), ('detected service support', 0, 0.0), ('getting constant key', 0, 0.0), ('key press detected', 0, 0.0), ('press detected service', 0, 0.0), ('service support message', 0, 0.0), ('support message screen', 0, 0.0)]","Getting a ""constant key press detected. Call service support."" Message on screen",Constant Key Press
20,Other,"[('code constant key', 0, 0.0), ('constant key press', 0, 0.0), ('detected service support', 0, 0.0), ('key press detected', 0, 0.0), ('press detected service', 0, 0.0), ('service support 308', 0, 0.0), ('support 308 233', 0, 0.0), ('warning code constant', 0, 0.0)]","Warning code constant key press detected call service support X:308, y:233",Constant Key Press
21,Other,"[('constant key press', 0, 0.0), ('key press detected', 0, 0.0), ('says constant key', 0, 0.0), ('screen says constant', 0, 0.0)]",Screen says constant key press detected,Constant Key Press
22,Other,"[('constant key press', 0, 0.0), ('detected turned oven', 0, 0.0), ('key press detected', 0, 0.0), ('message left oven', 0, 0.0), ('oven times message', 0, 0.0), ('press detected turned', 0, 0.0), ('times message left', 0, 0.0), ('turned oven times', 0, 0.0)]","Constant key press detected, turned off oven 3 times and message still there. Left oven",Constant Key Press
24,Other,"[('buttons shut screen', 0, 0.0), ('constant key press', 0, 0.0), ('key press wouldnt', 0, 0.0), ('let push buttons', 0, 0.0), ('press wouldnt let', 0, 0.0), ('push buttons shut', 0, 0.0), ('resolve phone answer', 0, 0.0), ('screen tried store', 0, 0.0), ('shut screen tried', 0, 0.0), ('store resolve phone', 0, 0.0), ('tried store resolve', 0, 0.0), ('wouldnt let push', 0, 0.0)]",Constant key press - Wouldnt let us push any buttons and then shut down to this screen ***tried to call store to resolve on the phone but there was no answer,Constant Key Press
43,Other,"[('55 66 sh', 0, 0.0), ('66 sh 5am', 0, 0.0), ('constant key press', 0, 0.0), ('detected service support', 0, 0.0), ('finished heating said', 0, 0.0), ('heating said warning', 0, 0.0), ('key press detected', 0, 0.0), ('press detected service', 0, 0.0), ('said warning constant', 0, 0.0), ('service support 55', 0, 0.0), ('sh 5am 9pm', 0, 0.0), ('support 55 66', 0, 0.0), ('warning constant key', 0, 0.0)]","When it was finished heating up it said ""WARNING CONSTANT KEY PRESS DETECTED CALL SERVICE SUPPORT"" X: 55 Y: 66 sh 5am-9pm",Constant Key Press
45,Other,"[('constant key press', 0, 0.0), ('detected service support', 0, 0.0), ('display saying warning', 0, 0.0), ('error saying release', 0, 0.0), ('key press detected', 0, 0.0), ('press detected service', 0, 0.0), ('release touch screen', 0, 0.0), ('saying release touch', 0, 0.0), ('saying warning constant', 0, 0.0), ('service support error', 0, 0.0), ('support error saying', 0, 0.0), ('warning constant key', 0, 0.0)]","Display saying ""warning constant key press detected call service support"" and an error saying release touch screen",Constant Key Press
